"censusdate","kangaroo_rat_abundance","pocket_mouse_abundance"
"19790922",3,0
"19791024",6,1
"19791117",4,1
"19800115",4,0
"19800224",2,0
"19800321",7,0
"19800417",7,0
"19800517",10,0
"19800622",11,0
"19800721",10,0
"19800813",8,0
"19800907",8,2
"19801011",6,1
"19801108",5,0
"19801215",4,0
"19810131",4,1
"19810308",6,0
"19810503",7,0
"19810604",10,1
"19810707",5,2
"19810730",4,1
"19810830",3,0
"19810929",3,0
"19811024",4,0
"19811122",3,0
"19811230",6,0
"19820124",2,0
"19820222",5,0
"19820329",4,0
"19820428",5,1
"19820521",4,0
"19820628",8,1
"19820725",8,1
"19820815",6,1
"19820918",6,0
"19821121",7,0
"19830112",8,0
"19830226",2,0
"19830314",4,0
"19830416",8,0
"19830514",4,0
"19830617",7,0
"19830716",2,1
"19830815",5,1
"19830910",7,0
"19831015",6,0
"19831112",8,0
"19831208",8,0
"19840204",3,0
"19840312",4,0
"19840409",4,0
"19840527",1,0
"19840703",0,0
"19840731",2,0
"19840825",0,0
"19840929",1,0
"19841020",1,0
"19841230",0,0
"19850119",0,0
"19850216",0,0
"19850316",0,0
"19850523",0,0
"19850615",2,0
"19850723",2,0
"19850819",2,1
"19850921",1,1
"19851012",3,0
"19851116",4,0
"19851207",3,0
"19860308",4,1
"19860412",4,0
"19860510",3,0
"19860604",1,0
"19860703",1,0
"19860809",2,0
"19860906",2,0
"19861004",2,0
"19861115",2,0
"19861214",2,0
"19870131",3,0
"19870301",3,0
"19870404",2,2
"19870425",3,1
"19870528",2,1
"19870630",3,0
"19870725",2,1
"19870825",2,0
"19870926",2,1
"19871024",2,0
"19871121",1,0
"19880123",1,0
"19880221",1,0
"19880320",1,1
"19880417",1,1
"19880514",2,1
"19880611",2,1
"19880714",2,1
"19880809",2,2
"19880911",0,2
"19881008",1,0
"19881105",1,0
"19881213",1,0
"19890110",1,0
"19890204",0,0
"19890312",1,0
"19890401",1,1
"19890509",0,0
"19890603",0,0
"19890703",0,1
"19890729",0,0
"19890903",0,0
"19891007",1,0
"19891104",1,0
"19891204",1,0
"19900106",2,0
"19900129",1,0
"19900224",1,0
"19900329",1,0
"19900424",1,0
"19900523",1,0
"19900621",1,0
"19900721",1,0
"19900816",1,0
"19900922",0,0
"19901015",0,0
"19901110",0,0
"19901215",0,0
"19910111",0,0
"19910216",0,0
"19910313",0,0
"19910419",0,0
"19910513",0,2
"19910613",0,0
"19910712",0,3
"19910807",0,2
"19910909",0,1
"19911010",0,1
"19911113",0,0
"19911207",0,0
"19920108",0,0
"19920206",0,0
"19920307",0,0
"19920404",0,0
"19920502",0,0
"19920530",1,0
"19920703",1,4
"19920730",0,3
"19920829",1,7
"19920926",1,8
"19921018",1,1
"19921221",1,0
"19930123",1,0
"19930219",1,0
"19930317",1,2
"19930423",0,6
"19930522",0,1
"19930618",0,3
"19930714",0,1
"19930819",0,2
"19930916",0,0
"19931015",0,0
"19931113",0,0
"19931214",0,0
"19940201",0,0
"19940220",0,0
"19940311",0,0
"19940410",0,0
"19940518",0,0
"19940614",0,0
"19940708",0,0
"19940817",0,0
"19940906",0,0
"19941012",0,0
"19941101",0,0
"19941204",0,0
"19950111",0,0
"19950204",0,0
"19950304",0,0
"19950401",0,0
"19950429",0,0
"19950607",0,1
"19950627",0,0
"19950720",0,1
"19950826",0,5
"19950923",0,8
"19951028",0,5
"19951202",0,1
"19951221",0,1
"19960127",0,0
"19960224",0,1
"19960323",0,3
"19960414",0,2
"19960523",0,0
"19960613",0,3
"19960720",0,2
"19960814",0,8
"19960921",0,5
"19961012",0,2
"19961116",0,0
"19961218",0,0
"19970208",0,0
"19970315",0,1
"19970412",0,7
"19970510",0,7
"19970609",0,8
"19970709",0,8
"19970729",0,4
"19970927",0,0
"19971025",0,0
"19971122",0,0
"19971228",0,0
"19980131",0,0
"19980301",0,0
"19980502",0,2
"19980528",0,4
"19980627",0,7
"19980718",0,6
"19980822",0,8
"19980919",0,8
"19981024",0,1
"19981121",0,0
"19981222",0,0
"19990116",0,0
"19990314",0,0
"19990417",0,2
"19990515",0,1
"19990612",0,3
"19990911",0,1
"19991009",0,7
"19991106",0,11
"19991205",0,9
"20000108",0,7
"20000205",0,7
"20000429",0,7
"20000603",0,16
"20000701",0,21
"20000825",0,11
"20000930",0,0
"20001125",0,1
"20001222",0,0
"20010324",0,5
"20010421",0,2
"20010526",0,5
"20010825",0,10
"20010922",0,8
"20011013",0,4
"20011117",0,1
"20020209",0,1
"20020313",0,3
"20020416",0,7
"20020515",0,6
"20020615",0,12
"20020713",0,19
"20020908",0,4
"20021005",0,11
"20021109",0,8
"20021207",0,5
"20021229",0,2
"20030201",0,5
"20030306",0,8
"20030329",0,14
"20030503",0,14
"20030528",0,16
"20030628",0,22
"20030728",0,22
"20030823",1,14
"20030927",0,2
"20031025",0,1
"20031122",0,0
"20031220",0,0
"20040124",0,0
"20040221",0,1
"20040317",0,2
"20040517",0,10
"20040819",0,16
"20040911",0,18
"20041016",0,12
"20041211",0,3
"20050115",0,2
"20050409",0,13
"20050604",0,15
"20050709",0,21
"20050806",0,27
"20050903",0,32
"20050930",0,24
"20051105",0,11
"20051209",0,1
"20060107",0,2
"20060128",0,2
"20060304",0,3
"20060325",0,9
"20060429",0,22
"20060527",0,24
"20060722",0,34
"20060923",0,13
"20061021",0,32
"20061118",0,47
"20061216",0,36
"20070217",0,20
"20070317",0,38
"20070414",0,28
"20070519",0,32
"20070616",0,39
"20070714",0,49
"20070908",0,34
"20071013",0,12
"20071110",0,10
"20071215",0,0
"20080112",0,0
"20080209",0,1
"20080309",0,2
"20080406",0,11
"20080503",0,21
"20080607",1,18
"20080628",1,23
"20080726",0,3
"20080830",2,13
"20080927",0,13
"20081026",2,4
"20081122",1,0
"20081220",2,0
"20090124",0,0
"20090221",1,0
"20090321",0,4
"20090426",0,14
"20090523",0,12
"20090620",0,17
"20090729",0,17
"20090822",0,4
"20090919",2,0
"20091017",1,0
"20091114",1,0
"20091212",1,0
"20100116",0,0
"20100213",0,0
"20100313",0,2
"20100417",0,7
"20100515",0,7
"20100710",0,13
"20100905",0,26
"20101106",0,6
"20110105",0,1
"20110205",0,0
"20110314",0,0
"20110402",0,10
"20110507",0,23
"20110702",0,17
"20110806",0,29
"20110827",0,36
"20111001",0,39
"20111022",0,40
"20120121",0,2
"20120219",0,9
"20120312",0,17
"20120421",0,27
"20120616",0,48
"20120728",0,65
"20120818",0,51
"20120915",0,33
"20121013",0,27
"20121110",0,6
"20121208",0,1
"20130112",0,0
"20130216",0,1
"20130313",0,2
"20130413",0,17
"20130511",0,29
"20130706",0,33
"20130914",0,30
"20131102",0,15
"20131229",0,1
"20140201",0,0
"20140301",0,7
"20140329",0,17
"20140426",0,24
"20140531",0,39
"20140628",0,58
"20140802",0,24
"20140830",0,44
"20140927",0,27
"20141025",0,16
"20141122",0,5
"20150117",0,4
"20150221",0,9
"20150326",0,17
"20150418",0,31
"20150516",0,24
"20150613",0,36
"20150718",0,60
"20150822",0,47
"20150912",0,29
"20151010",0,15
"20151114",0,3
"20160213",0,0
"20160319",0,4
"20160507",1,16
"20160604",1,8
"20160702",1,17
"20160806",1,19
"20160903",0,13
"20161001",1,6
"20161105",1,2
"20170128",1,0
"20170225",1,0
"20170328",0,10
"20170429",0,3
"20170527",0,14
"20170624",1,18
"20170819",0,28
"20170914",0,46
"20171021",1,15
"20171118",1,7
"20180324",1,4
"20180414",1,8
"20180519",1,18
"20180609",1,15
"20180714",1,11
"20180812",0,9
"20180904",1,7
"20181006",0,5
"20181110",0,1
"20190301",0,1
"20190402",0,5
"20190504",0,5
"20190608",0,7
"20190706",0,13
"20190803",0,15
"20190904",0,17
"20190928",0,16
"20191026",0,6
"20191124",0,2
"20191221",0,0
"20200125",0,0
"20210615",0,20
