"censusdate","kangaroo_rat_abundance","pocket_mouse_abundance"
1979-09-22,3,0
1979-10-24,6,1
1979-11-17,4,1
1980-01-15,4,0
1980-02-24,2,0
1980-03-21,7,0
1980-04-17,7,0
1980-05-17,10,0
1980-06-22,11,0
1980-07-21,10,0
1980-08-13,8,0
1980-09-07,8,2
1980-10-11,6,1
1980-11-08,5,0
1980-12-15,4,0
1981-01-31,4,1
1981-03-08,6,0
1981-05-03,7,0
1981-06-04,10,1
1981-07-07,5,2
1981-07-30,4,1
1981-08-30,3,0
1981-09-29,3,0
1981-10-24,4,0
1981-11-22,3,0
1981-12-30,6,0
1982-01-24,2,0
1982-02-22,5,0
1982-03-29,4,0
1982-04-28,5,1
1982-05-21,4,0
1982-06-28,8,1
1982-07-25,8,1
1982-08-15,6,1
1982-09-18,6,0
1982-11-21,7,0
1983-01-12,8,0
1983-02-26,2,0
1983-03-14,4,0
1983-04-16,8,0
1983-05-14,4,0
1983-06-17,7,0
1983-07-16,2,1
1983-08-15,5,1
1983-09-10,7,0
1983-10-15,6,0
1983-11-12,8,0
1983-12-08,8,0
1984-02-04,3,0
1984-03-12,4,0
1984-04-09,4,0
1984-05-27,1,0
1984-07-03,0,0
1984-07-31,2,0
1984-08-25,0,0
1984-09-29,1,0
1984-10-20,1,0
1984-12-30,0,0
1985-01-19,0,0
1985-02-16,0,0
1985-03-16,0,0
1985-05-23,0,0
1985-06-15,2,0
1985-07-23,2,0
1985-08-19,2,1
1985-09-21,1,1
1985-10-12,3,0
1985-11-16,4,0
1985-12-07,3,0
1986-03-08,4,1
1986-04-12,4,0
1986-05-10,3,0
1986-06-04,1,0
1986-07-03,1,0
1986-08-09,2,0
1986-09-06,2,0
1986-10-04,2,0
1986-11-15,2,0
1986-12-14,2,0
1987-01-31,3,0
1987-03-01,3,0
1987-04-04,2,2
1987-04-25,3,1
1987-05-28,2,1
1987-06-30,3,0
1987-07-25,2,1
1987-08-25,2,0
1987-09-26,2,1
1987-10-24,2,0
1987-11-21,1,0
1988-01-23,1,0
1988-02-21,1,0
1988-03-20,1,1
1988-04-17,1,1
1988-05-14,2,1
1988-06-11,2,1
1988-07-14,2,1
1988-08-09,2,2
1988-09-11,0,2
1988-10-08,1,0
1988-11-05,1,0
1988-12-13,1,0
1989-01-10,1,0
1989-02-04,0,0
1989-03-12,1,0
1989-04-01,1,1
1989-05-09,0,0
1989-06-03,0,0
1989-07-03,0,1
1989-07-29,0,0
1989-09-03,0,0
1989-10-07,1,0
1989-11-04,1,0
1989-12-04,1,0
1990-01-06,2,0
1990-01-29,1,0
1990-02-24,1,0
1990-03-29,1,0
1990-04-24,1,0
1990-05-23,1,0
1990-06-21,1,0
1990-07-21,1,0
1990-08-16,1,0
1990-09-22,0,0
1990-10-15,0,0
1990-11-10,0,0
1990-12-15,0,0
1991-01-11,0,0
1991-02-16,0,0
1991-03-13,0,0
1991-04-19,0,0
1991-05-13,0,2
1991-06-13,0,0
1991-07-12,0,3
1991-08-07,0,2
1991-09-09,0,1
1991-10-10,0,1
1991-11-13,0,0
1991-12-07,0,0
1992-01-08,0,0
1992-02-06,0,0
1992-03-07,0,0
1992-04-04,0,0
1992-05-02,0,0
1992-05-30,1,0
1992-07-03,1,4
1992-07-30,0,3
1992-08-29,1,7
1992-09-26,1,8
1992-10-18,1,1
1992-12-21,1,0
1993-01-23,1,0
1993-02-19,1,0
1993-03-17,1,2
1993-04-23,0,6
1993-05-22,0,1
1993-06-18,0,3
1993-07-14,0,1
1993-08-19,0,2
1993-09-16,0,0
1993-10-15,0,0
1993-11-13,0,0
1993-12-14,0,0
1994-02-01,0,0
1994-02-20,0,0
1994-03-11,0,0
1994-04-10,0,0
1994-05-18,0,0
1994-06-14,0,0
1994-07-08,0,0
1994-08-17,0,0
1994-09-06,0,0
1994-10-12,0,0
1994-11-01,0,0
1994-12-04,0,0
1995-01-11,0,0
1995-02-04,0,0
1995-03-04,0,0
1995-04-01,0,0
1995-04-29,0,0
1995-06-07,0,1
1995-06-27,0,0
1995-07-20,0,1
1995-08-26,0,5
1995-09-23,0,8
1995-10-28,0,5
1995-12-02,0,1
1995-12-21,0,1
1996-01-27,0,0
1996-02-24,0,1
1996-03-23,0,3
1996-04-14,0,2
1996-05-23,0,0
1996-06-13,0,3
1996-07-20,0,2
1996-08-14,0,8
1996-09-21,0,5
1996-10-12,0,2
1996-11-16,0,0
1996-12-18,0,0
1997-02-08,0,0
1997-03-15,0,1
1997-04-12,0,7
1997-05-10,0,7
1997-06-09,0,8
1997-07-09,0,8
1997-07-29,0,4
1997-09-27,0,0
1997-10-25,0,0
1997-11-22,0,0
1997-12-28,0,0
1998-01-31,0,0
1998-03-01,0,0
1998-05-02,0,2
1998-05-28,0,4
1998-06-27,0,7
1998-07-18,0,6
1998-08-22,0,8
1998-09-19,0,8
1998-10-24,0,1
1998-11-21,0,0
1998-12-22,0,0
1999-01-16,0,0
1999-03-14,0,0
1999-04-17,0,2
1999-05-15,0,1
1999-06-12,0,3
1999-09-11,0,1
1999-10-09,0,7
1999-11-06,0,11
1999-12-05,0,9
2000-01-08,0,7
2000-02-05,0,7
2000-04-29,0,7
2000-06-03,0,16
2000-07-01,0,21
2000-08-25,0,11
2000-09-30,0,0
2000-11-25,0,1
2000-12-22,0,0
2001-03-24,0,5
2001-04-21,0,2
2001-05-26,0,5
2001-08-25,0,10
2001-09-22,0,8
2001-10-13,0,4
2001-11-17,0,1
2002-02-09,0,1
2002-03-13,0,3
2002-04-16,0,7
2002-05-15,0,6
2002-06-15,0,12
2002-07-13,0,19
2002-09-08,0,4
2002-10-05,0,11
2002-11-09,0,8
2002-12-07,0,5
2002-12-29,0,2
2003-02-01,0,5
2003-03-06,0,8
2003-03-29,0,14
2003-05-03,0,14
2003-05-28,0,16
2003-06-28,0,22
2003-07-28,0,22
2003-08-23,1,14
2003-09-27,0,2
2003-10-25,0,1
2003-11-22,0,0
2003-12-20,0,0
2004-01-24,0,0
2004-02-21,0,1
2004-03-17,0,2
2004-05-17,0,10
2004-08-19,0,16
2004-09-11,0,18
2004-10-16,0,12
2004-12-11,0,3
2005-01-15,0,2
2005-04-09,0,13
2005-06-04,0,15
2005-07-09,0,21
2005-08-06,0,27
2005-09-03,0,32
2005-09-30,0,24
2005-11-05,0,11
2005-12-09,0,1
2006-01-07,0,2
2006-01-28,0,2
2006-03-04,0,3
2006-03-25,0,9
2006-04-29,0,22
2006-05-27,0,24
2006-07-22,0,34
2006-09-23,0,13
2006-10-21,0,32
2006-11-18,0,47
2006-12-16,0,36
2007-02-17,0,20
2007-03-17,0,38
2007-04-14,0,28
2007-05-19,0,32
2007-06-16,0,39
2007-07-14,0,49
2007-09-08,0,34
2007-10-13,0,12
2007-11-10,0,10
2007-12-15,0,0
2008-01-12,0,0
2008-02-09,0,1
2008-03-09,0,2
2008-04-06,0,11
2008-05-03,0,21
2008-06-07,1,18
2008-06-28,1,23
2008-07-26,0,3
2008-08-30,2,13
2008-09-27,0,13
2008-10-26,2,4
2008-11-22,1,0
2008-12-20,2,0
2009-01-24,0,0
2009-02-21,1,0
2009-03-21,0,4
2009-04-26,0,14
2009-05-23,0,12
2009-06-20,0,17
2009-07-29,0,17
2009-08-22,0,4
2009-09-19,2,0
2009-10-17,1,0
2009-11-14,1,0
2009-12-12,1,0
2010-01-16,0,0
2010-02-13,0,0
2010-03-13,0,2
2010-04-17,0,7
2010-05-15,0,7
2010-07-10,0,13
2010-09-05,0,26
2010-11-06,0,6
2011-01-05,0,1
2011-02-05,0,0
2011-03-14,0,0
2011-04-02,0,10
2011-05-07,0,23
2011-07-02,0,17
2011-08-06,0,29
2011-08-27,0,36
2011-10-01,0,39
2011-10-22,0,40
2012-01-21,0,2
2012-02-19,0,9
2012-03-12,0,17
2012-04-21,0,27
2012-06-16,0,48
2012-07-28,0,65
2012-08-18,0,51
2012-09-15,0,33
2012-10-13,0,27
2012-11-10,0,6
2012-12-08,0,1
2013-01-12,0,0
2013-02-16,0,1
2013-03-13,0,2
2013-04-13,0,17
2013-05-11,0,29
2013-07-06,0,33
2013-09-14,0,30
2013-11-02,0,15
2013-12-29,0,1
2014-02-01,0,0
2014-03-01,0,7
2014-03-29,0,17
2014-04-26,0,24
2014-05-31,0,39
2014-06-28,0,58
2014-08-02,0,24
2014-08-30,0,44
2014-09-27,0,27
2014-10-25,0,16
2014-11-22,0,5
2015-01-17,0,4
2015-02-21,0,9
2015-03-26,0,17
2015-04-18,0,31
2015-05-16,0,24
2015-06-13,0,36
2015-07-18,0,60
2015-08-22,0,47
2015-09-12,0,29
2015-10-10,0,15
2015-11-14,0,3
2016-02-13,0,0
2016-03-19,0,4
2016-05-07,1,16
2016-06-04,1,8
2016-07-02,1,17
2016-08-06,1,19
2016-09-03,0,13
2016-10-01,1,6
2016-11-05,1,2
2017-01-28,1,0
2017-02-25,1,0
2017-03-28,0,10
2017-04-29,0,3
2017-05-27,0,14
2017-06-24,1,18
2017-08-19,0,28
2017-09-14,0,46
2017-10-21,1,15
2017-11-18,1,7
2018-03-24,1,4
2018-04-14,1,8
2018-05-19,1,18
2018-06-09,1,15
2018-07-14,1,11
2018-08-12,0,9
2018-09-04,1,7
2018-10-06,0,5
2018-11-10,0,1
2019-03-01,0,1
2019-04-02,0,5
2019-05-04,0,5
2019-06-08,0,7
2019-07-06,0,13
2019-08-03,0,15
2019-09-04,0,17
2019-09-28,0,16
2019-10-26,0,6
2019-11-24,0,2
2019-12-21,0,0
2020-01-25,0,0
2021-06-15,0,20
