"censusdate","control_biomass","exclosure_biomass"
"19790922",644,47
"19791024",1117,49
"19791117",993,109
"19800115",1242,95
"19800224",573,114
"19800321",1153,180.899749373
"19800417",1046,72
"19800517",1339,29
"19800622",1679,29
"19800721",1557,15
"19800813",1397,37
"19800907",1332,73
"19801011",993,7
"19801108",930,20
"19801215",1108,15
"19810131",925,38
"19810308",1198,72
"19810503",1294,55
"19810604",1689,59
"19810707",1062,37
"19810730",831,0
"19810830",863.9275604,9
"19810929",696,16
"19811024",894,57
"19811122",1249.05443314,95
"19811230",1200,318
"19820124",1028.52721657,201.899749373
"19820222",1809.52721657,360.7079252
"19820329",1249,284
"19820428",1106,167
"19820521",927.9275604,155
"19820628",1408,259
"19820725",1589.9275604,292
"19820815",1626,222
"19820918",1315,104
"19821121",1658,200
"19830112",1759.9275604,399
"19830226",1033,54
"19830314",1330,202
"19830416",1607,171
"19830514",1038,177
"19830617",1410,111
"19830716",753,108
"19830815",1125,69
"19830910",1569,91
"19831015",1400,145
"19831112",1283,125
"19831208",1348,66
"19840204",884.72923441,122
"19840312",993,50
"19840409",686,94
"19840527",538,114
"19840703",683,51
"19840731",672,100
"19840825",318,7
"19840929",640,120
"19841020",784,95
"19841230",474,64
"19850119",482,118
"19850216",376,98
"19850316",396,323
"19850523",458,208
"19850615",773.45477697,160
"19850723",821,203
"19850819",906,108
"19850921",1033,201
"19851012",1234,221
"19851116",1526.52721657,167
"19851207",1232,262
"19860308",1071,152.61851292
"19860412",1056,53
"19860510",1010,116
"19860604",675,130
"19860703",850,168
"19860809",811.9275604,56
"19860906",894,64
"19861004",829,25
"19861115",925,77
"19861214",902,172.72923441
"19870131",1095,255.7079252
"19870301",1082,227
"19870404",952,175
"19870425",963,238
"19870528",892,273.98281643
"19870630",1185,264
"19870725",1011,259.72923441
"19870825",957,259
"19870926",757,162.61851292
"19871024",785,192
"19871121",971,403
"19880123",833,291
"19880221",846,347
"19880320",1129.03951957,308
"19880417",560,200
"19880514",875,106
"19880611",868,148
"19880714",795,99
"19880809",961,139.33206832
"19880911",515,82
"19881008",865.52721657,38
"19881105",910,92
"19881213",1002,135.72923441
"19890110",840,195
"19890204",962.72923441,299
"19890312",774,279
"19890401",748,241
"19890509",537,206
"19890603",644.39257813,218.72923441
"19890703",503,127.72923441
"19890729",849,98
"19890903",527,55
"19891007",854,140
"19891104",1039.98281643,230.72923441
"19891204",1226,298
"19900106",1206.9275604,77
"19900129",1099,140
"19900224",1349,160
"19900329",1339,159
"19900424",1392.56673614,213
"19900523",1044,140
"19900621",1107,76
"19900721",993.52721657,56
"19900816",1037,78
"19900922",774,67
"19901015",1108,96.98281643
"19901110",961.52721657,199
"19901215",1230.52721657,252.72923441
"19910111",1070,190.72923441
"19910216",1220.03951957,200.72923441
"19910313",1241.58164971,181
"19910419",886,181.25645098
"19910513",727.39257813,196
"19910613",729.60625571,85.01109105
"19910712",659.72923441,112
"19910807",730.52721657,110.61851292
"19910909",679.52721657,120.899749373
"19911010",754,143.449086162
"19911113",880,280
"19911207",893,225
"19920108",635,125
"19920206",728,107
"19920307",850,167.72923441
"19920404",1080,101
"19920502",771.52721657,83
"19920530",764,35
"19920703",818.52721657,158
"19920730",572,196.61851292
"19920829",751,176.23702584
"19920926",964.23702584,109.882565803
"19921018",915.05443314,81
"19921221",664,40
"19930123",643,47
"19930219",593,78
"19930317",1230,54
"19930423",506,107
"19930522",542,59
"19930618",481,165.61851292
"19930714",483,147
"19930819",576.899749373,118.61851292
"19930916",342,311
"19931015",551,77
"19931113",489,56
"19931214",400,29
"19940201",547,23
"19940220",772,32
"19940311",804,46
"19940410",807,105
"19940518",532,121
"19940614",367,76
"19940708",327,120.61851292
"19940817",367,140
"19940906",389,198
"19941012",588.899749373,117
"19941101",477,46.899749373
"19941204",437,42
"19950111",414,33
"19950204",480,63
"19950304",611,66
"19950401",909,123
"19950429",779,93
"19950607",876,100
"19950627",789,160
"19950720",1082,181
"19950826",927,340.66603416
"19950923",1193.899749373,554.72923441
"19951028",1144,385
"19951202",1112,346
"19951221",796,335
"19960127",1222,462
"19960224",1043,574
"19960323",653,412.899749373
"19960414",1515.39257813,977
"19960523",656,558
"19960613",1084,625.52721657
"19960720",717.03951957,552
"19960814",618,445
"19960921",1020,314.61851292
"19961012",914,238
"19961116",950,287
"19961218",1025,353
"19970208",2065,693
"19970315",2156,564
"19970412",1793,1011
"19970510",1616,1032
"19970609",1659,1098.7079252
"19970709",1537,1294
"19970729",1205,877
"19970927",1277,650
"19971025",1236,641
"19971122",1173,501
"19971228",997,420
"19980131",1330,443.87351518
"19980301",1657.66068885,412.52721657
"19980502",1002.52721657,277
"19980528",1561,450
"19980627",889,660
"19980718",871,766
"19980822",790,809
"19980919",951,803.87351518
"19981024",830,595
"19981121",994,681
"19981222",1067,411
"19990116",1092,514
"19990314",1076,664
"19990417",1185,877
"19990515",729,688
"19990612",619,768
"19990911",122,257
"19991009",474,302
"19991106",893,577
"19991205",390,535
"20000108",732,391
"20000205",715,441
"20000429",880,523
"20000603",1103.18524906,819
"20000701",1075,786
"20000825",1108,643
"20000930",922,451
"20001125",751,447.87351518
"20001222",632.52721657,353.87351518
"20010324",988.52721657,347
"20010421",928,448
"20010526",1331,295
"20010825",1448,1034.010290393
"20010922",1323,1286.4920281
"20011013",1437,948
"20011117",1463.03951957,1068.87351518
"20020209",1157,1371
"20020313",1626,991
"20020416",1511,1099
"20020515",1531.03951957,1423
"20020615",1433,1303.87351518
"20020713",1361,1324.87351518
"20020908",674.61851292,441.14572949
"20021005",1164.40073175,1370
"20021109",1389,1277.87351518
"20021207",1275,1279
"20021229",1175.87351518,780
"20030201",2115,1342
"20030306",2288,1457
"20030329",1765.61851292,1151.52721657
"20030503",1642,1565
"20030528",1686,1301
"20030628",1737,1437
"20030728",1338,1289
"20030823",1556,1380
"20030927",1186,908
"20031025",1008,728
"20031122",841,694
"20031220",897,672
"20040124",805,552
"20040221",1066,493
"20040317",594,563
"20040517",1377.56673614,504.14615385
"20040819",886,610.52721657
"20040911",741,514.87351518
"20041016",964,594
"20041211",944,405
"20050115",888,325
"20050409",954,391.61851292
"20050604",1135.03951957,579
"20050709",1050.46666667,750
"20050806",1325,1252.61851292
"20050903",1619,1383
"20050930",1415,1379.87351518
"20051105",1434,1165
"20051209",885,607
"20060107",1131,691
"20060128",938,611
"20060304",831,657
"20060325",772,723
"20060429",1273,822
"20060527",1098,920
"20060722",1247,1347.87351518
"20060923",408.52721657,599
"20061021",1117,1143
"20061118",1528.61851292,1544
"20061216",1790.78515626,1699.87351518
"20070217",1716,1005.87351518
"20070317",2030,1416
"20070414",1835.83835519,1466
"20070519",2338.60132935,2049.98281643
"20070616",2965,2262.98608882
"20070714",2930,2793
"20070908",2393,2243.61851292
"20071013",2196,1687
"20071110",2177,1807.87351518
"20071215",1812,1088
"20080112",1449,917
"20080209",1728.05443314,990.56673614
"20080309",1774,1169
"20080406",1923,1342.52721657
"20080503",2351,737
"20080607",2306,764
"20080628",2362,884
"20080726",1164,318
"20080830",1245,689
"20080927",1076,676
"20081026",1102,566
"20081122",1416,396
"20081220",1416,384.87351518
"20090124",1316,403
"20090221",1216,453
"20090321",1032,553
"20090426",1124,673
"20090523",1304,700.52721657
"20090620",1298,823
"20090729",1055,676
"20090822",681,613.87351518
"20090919",703,331
"20091017",397,278.52721657
"20091114",406,209
"20091212",411,135
"20100116",248,75
"20100213",307,137
"20100313",398,222
"20100417",592,156
"20100515",743,37
"20100710",589,156
"20100905",847,529.61851292
"20101106",500.05443314,102
"20110105",566,45
"20110205",444,0
"20110314",631,81
"20110402",874,305
"20110507",929.61851292,281
"20110702",494,683.61851292
"20110806",924.61851292,772.61851292
"20110827",1005.61851292,693.61851292
"20111001",1050,710.61851292
"20111022",964.61851292,770
"20120121",976.98281643,65
"20120219",860,146
"20120312",1118,285
"20120421",1336.61851292,668
"20120616",1935.85553876,933
"20120728",2156,1208.23702584
"20120818",1845.23702584,1202.72923441
"20120915",1403,961.87351518
"20121013",1508,679
"20121110",998,374
"20121208",1082,309
"20130112",851,279
"20130216",959,409
"20130313",914,483
"20130413",1375,759
"20130511",1505,614
"20130706",1390,823.61851292
"20130914",1306,683
"20131102",1022,548
"20131229",948,212
"20140201",1753,259
"20140301",1648,424.045903223
"20140329",1774.61851292,634
"20140426",1940,756
"20140531",1830,870
"20140628",2043,1075
"20140802",1437.52721657,626
"20140830",1676,1064
"20140927",1399,837
"20141025",1154,611
"20141122",873,596
"20150117",1257,494
"20150221",1875,786
"20150326",1643,1325
"20150418",2033,1299
"20150516",2049,997
"20150613",1873.61851292,1047
"20150718",2198.61851292,1076
"20150822",2022.61851292,1143
"20150912",1569,923
"20151010",1594,860
"20151114",1568,663
"20160213",1666,463
"20160319",1438,416.449086162
"20160507",1856,413
"20160604",1530,536
"20160702",1551,387
"20160806",1344,486
"20160903",1043,417
"20161001",975,292
"20161105",1003,183.61851292
"20170128",1383,230
"20170225",1556,211
"20170328",1238,234
"20170429",1178,473
"20170527",1522.49320673,562
"20170624",1127,389
"20170819",1087,747.4125
"20170914",1504.61851292,718
"20171021",845,478
"20171118",843,229
"20180324",854,216
"20180414",956,238
"20180519",807,384
"20180609",736,455
"20180714",786.98281643,445
"20180812",502,179
"20180904",614,307
"20181006",493,234
"20181110",425,79
"20190301",648,180
"20190402",549,248
"20190504",697,151
"20190608",560,206
"20190706",623,190
"20190803",324,260
"20190904",449,253
"20190928",601,330
"20191026",605,132
"20191124",485,95
"20191221",582.52721657,42
"20200125",1153,169
"20210615",774,361
